ID,URI,Label,Type,Value Space,Mandatory,Repeatable,Comment,
,,,,,,,based on https://developers.google.com/search/docs/data-types/recipe,It would be useful to have a way of adding comments about the AP as a whole
sdo:,http://schema.org/,,,,,,,
rdf:,http://www.w3.org/1999/02/22-rdf-syntax-ns#,RDF,,,,,,
xsd:,http://www.w3.org/2001/XMLSchema#,XML Schema,,,,,,
,,,,,,,,
@Recipe,,Recipe,,,y,n,Application profile for a single recipe,
,rdf:type,instance of,URI ,sdo:Recipe,y,n,,
,sdo:image,image, ,xsd:anyURI @Image,y,y,Image of the completed dish.,? how to say Type is URI or Entitiy depending on which Value space is used
,sdo:name,name,Literal,xsd:string,y,n,The name of the dish.,
,sdo:url,page URL,URI ,xsd:anyURI,n,n,The URL of the recipe's web page,not in the Google requirements b/c metadata is assumed to be on-page
,sdo:aggregateRating,,Entity,@AggregateRating,n,n,,
,sdo:author,,Entity,@Author,n,y,,
,sdo:cookTime,,Literal,xsd:duration,n,n,Use ISO 8601 duration format,is there a better RDF construct for ISO 8601 
,sdo:datePublished,,Literal,xsd:date,n,n,,
,sdo:description,,Literal,xsd:string,n,n,,
,sdo:keywords,,Literal,xsd:string,n,y,,
,sdo:nutrition,,Entity,@NutritionInformation,n,n,,?only use if recipe yield is specified
,sdo:prepTime,,Literal,xsd:duration,n,n,,
,sdo:recipeCategory,,Literal,xsd:string,n,y,,
,sdo:recipeCuisine,,Literal,xsd:string,n,y,,
,sdo:recipeIngredient,,Literal,xsd:string,y,y,,
,sdo:recipeInstructions,,,@HowToStep @HowToSection xsd:string,y,n,,required for guided recipes
,sdo:recipeYield,,Literal,xsd:string,n,n,,
,sdo:totalTime,,Literal,xsd:duration,n,n,,
,sdo:video,,Entity,@Video,n,y,,
,,,,,,,,
@Image,,Image Object,,,,,,
,rdf:type,instance of,URI ,sdo:ImageObject,y,n,,
,sdo:contentUrl,location,URI ,xsd:anyURI,y,n,,
,sdo:caption,image caption,Literal,xsd:string,n,n,,
,,,,,,,,
@AggregateRating,,Rating,,,,,,
,rdf:type,instance of,URI,sdo:AggregateRating,y,n,,
,sdo:itemReviewed,,URI,,y,n,,? hmm. should point back to recipe ID/url; but is nesting enough?
,sdo:ratingCount,,Literal,xsd:integer,y,n,The total number of ratings,? either this or the next property is required
,sdo:reviewCount,,Literal,xsd:integer,y,n,Specifies the number of people who provided a review with or without an accompanying rating.,
,sdo:ratingValue,,Literal,xsd:float xsd:string,y,n,"The aggregate rating, e.g. 4.1 or 82%",
,sdo:bestRating,,Literal,xsd:float,n,n,The best rating possible,
,sdo:worstRating,,Literal,xsd:float,n,n,The worst rating possible,
,,,,,,,,
@Author,,Recipe Author,,,,,The name of the person or organization that wrote the recipe.,
,rdf:type,instance of,URI ,sdo:Person :Organization,y,n,,
,sdo:name,Name,Literal,xsd:string,y,y,,
,,,,,,,,
@NutritionInformation,,Nutritional Information,,,,,,
,rdf:type,instance of,URI,sdo:NutritionInformation,y,n,,
,sdo:calories,,Literal,xsd:string,y,n,Energy per serving in form <number> <unit> e.g. 420kCal,
,sdo:servingSize,,Literal,xsd:string,y,n,,
,,,,,,,,
@HowToSection,,Set of instructions,,,,,,
,rdf:type,instance of ,URI,sdo:HowToSection,y,n,,
,sdo:name,title for this section,Literal,xsd:string,y,n,,
,sdo:text,summary of this section,Literal,xsd:string,y,n,,
,sdo:itemListElement,instruction,,@HowToStep,y,y,,
,sdo:itemListOrder,,URI,sdo:ItemListOrderAscending,y,n,,
,,,,,,,,
@HowToStep,,Instruction step,,,,,,
,rdf:type,,URI,sdo:HowToStep,y,n,,
,sdo:name,heading for instructions,Literal,xsd:string,y,n,,
,sdo:text,detailed instructions,Literal,xsd:string,n,n,,
,sdo:url,link to this step,URI,,n,y,,
,sdo:image,image(s) for this step,,xsd:anyURI @image,n,y,,
,sdo:video,a video of this step,Entity,@Video,,,,
,,,,,,,,
@Video,,Image Object,,,,,,
,rdf:type,instance of,URI ,sdo:VideoObject,y,n,,
,sdo:name,,,xsd:string,y,n,,
,sdo:contentUrl,location,URI ,xsd:anyURI,y,n,,
,sdo:embedUrl,,URI ,xsd:anyURI,y,y,,
,sdo:url,,URI ,xsd:anyURI,y,n,,
,sdo:hasPart,A clip from a video,Entity,@VideoObject,n,y,,
,sdo:thumbnailUrl,,URI ,xsd:anyURI,n,n,,
,sdo:startOffset,The start of a clip,Literal,xsd:integer,n,n,Required for clips,
,sdo:endOffset,The end of a clip,Literal,xsd:integer,n,n,Required for clips,
